Sr. No,RoadName,Description,Latitude,Longitude
391,Nth Buona Vista Rd,Buona Vista Ter,1.309170025,103.7923632
392,Holland Dr,Blk 10A,1.308411379,103.7932829
393,Holland Dr,Blk 46,1.30906501,103.7929322
394,Holland Ave,Holland V Stn Exit C,1.309067222,103.7950744
395,Holland Ave,Blk 9,1.307644167,103.7943258
396,Holland Ave,Holland V Stn Exit A,1.311029814,103.796044
397,C'wealth Dr,Opp Blk 115B,1.30454,103.7983633
398,C'wealth Dr,Blk 92,1.306064722,103.8002978
399,C'wealth Dr,Blk 58,1.297804167,103.7975406
400,C'wealth Dr,Blk 37B,1.298405278,103.7976033
401,C'wealth Dr,Blk 72,1.300349722,103.7970728
402,C'wealth Dr,Blk 50,1.300970556,103.7968519
403,Margaret Dr,Queensway Sec Sch,1.301135034,103.8018858
404,Margaret Dr,Opp The Fisherman Ch,1.299518926,103.8031516
405,Margaret Dr,The Fisherman Ch,1.299380751,103.8037199
406,Margaret Dr,Queenstown Lib,1.298115189,103.8060054
407,Margaret Dr,Opp Queenstown Lib,1.298453515,103.8049972
408,Margaret Dr,Opp Queenstown Pr Sch,1.297102028,103.8076365
409,Margaret Dr,Queenstown Pr Sch,1.296850536,103.8078866
410,Alexandra Rd,Alexandra Hosp,1.285946874,103.8025188
411,Alexandra Rd,Opp Queensway Shop Ctr,1.286657422,103.8033413
412,Alexandra Rd,Anchorpoint,1.28857101,103.80543
413,Alexandra Rd,Bef IKEA Ind Bldg,1.289031206,103.8060909
414,Alexandra Rd,Opp Lea Hin Hardware Fty,1.291088333,103.8075308
415,Alexandra Rd,Lea Hin Hardware Fty,1.291170495,103.8078618
416,Stirling Rd,Opp Queens,1.29235984,103.805785
417,Stirling Rd,Tiong Ghee Tp,1.291267031,103.804096
